Id,SalePrice
1461,136225.48
1462,122320.23
1463,130470.65
1464,130471.18
1465,130062.76
1466,128588.02
1467,126377.77
1468,126846.31
1469,130683.65
1470,129310.34
1471,130428.03
1472,119984.52
1473,121828.57
1474,126160.61
1475,121227.29
1476,141722.94
1477,144971.92
1478,140338.44
1479,137963.7
1480,149030.48
1481,141821.66
1482,130499.45
1483,129207.61
1484,128650.01
1485,127832.25
1486,128925.4
1487,147610.92
1488,144684.31
1489,137833.7
1490,132621.97
1491,130996.914
1492,123226.805
1493,127736.27
1494,140821.23
1495,139205.19
1496,130641.945
1497,133424.55
1498,129722.4
1499,129382.055
1500,129737.15
1501,127464.7
1502,129412.19
1503,143965.83
1504,134795.42
1505,134956.25
1506,128607.26
1507,136732.06
1508,134325.7
1509,127092.67
1510,128683.555
1511,128820.95
1512,129982.18
1513,126020.09
1514,88012.21
1515,125771.85
1516,127635.734
1517,123435.6
1518,130291.414
1519,135827.22
1520,120006.74
1521,122106.19
1522,126560.6
1523,119249.35
1524,120806.37
1525,121670.055
1526,119682.09
1527,133377.27
1528,120849.516
1529,127476.445
1530,127183.85
1531,117261.336
1532,84813.375
1533,129208.21
1534,118786.086
1535,120086.23
1536,119011.18
1537,135756.83
1538,119884.94
1539,131695.4
1540,85473.56
1541,131795.45
1542,123009.38
1543,119897.62
1544,116196.164
1545,117754.72
1546,129601.31
1547,118357.33
1548,120520.4
1549,131927.78
1550,125564.38
1551,118536.38
1552,128167.016
1553,86330.875
1554,116448.78
1555,124395.695
1556,115701.805
1557,84743.96
1558,117955.63
1559,83325.32
1560,124313.27
1561,87010.445
1562,125974.08
1563,120901.52
1564,130627.11
1565,128492.945
1566,135019.23
1567,124698.555
1568,130018.78
1569,127993.73
1570,127335.766
1571,117753.73
1572,124076.72
1573,133449.58
1574,126569.37
1575,131735.06
1576,149968.7
1577,135375.33
1578,126802.37
1579,133146.98
1580,129741.805
1581,122777.65
1582,127759.1
1583,144236.62
1584,135426.98
1585,126821.36
1586,118759.65
1587,121049.5
1588,122759.67
1589,126847.6
1590,123445.22
1591,85765.37
1592,120019.58
1593,121896.74
1594,85998.33
1595,85319.305
1596,122157.41
1597,128182.28
1598,130244.625
1599,132992.08
1600,130566.336
1601,116717.76
1602,131103.27
1603,118907.07
1604,132144.56
1605,139940.92
1606,128480.82
1607,136696.7
1608,137862.39
1609,131871.47
1610,127543.125
1611,129571.27
1612,135318.83
1613,135315.23
1614,120032.02
1615,86101.46
1616,85548.33
1617,120245.18
1618,123448.99
1619,129393.93
1620,133751.38
1621,132373.39
1622,121121.15
1623,130297.555
1624,135305.66
1625,127578.195
1626,130809.445
1627,130413.08
1628,135065.89
1629,126965.81
1630,132866.52
1631,130529.18
1632,131538.72
1633,127024.02
1634,128698.04
1635,126091.35
1636,127483.03
1637,132687.89
1638,129498.87
1639,129603.836
1640,127000.32
1641,129148.13
1642,134183.11
1643,132569.3
1644,132229.38
1645,127021.72
1646,130266.375
1647,129550.164
1648,126059.45
1649,121769.414
1650,131281.55
1651,131670.61
1652,119958.305
1653,120522.57
1654,126204.73
1655,125864.32
1656,126229.37
1657,126264.33
1658,126472.375
1659,122770.734
1660,133462.1
1661,142248.89
1662,145334.33
1663,146568.28
1664,142220.19
1665,144036.67
1666,148363.89
1667,137006.72
1668,147438.38
1669,139106.33
1670,145012.56
1671,135147.4
1672,146130.92
1673,140479.58
1674,144644.64
1675,130595.32
1676,135277.83
1677,131523.84
1678,148526.83
1679,139477.11
1680,136712.92
1681,132539.67
1682,140176.64
1683,130015.25
1684,127282.56
1685,127404.51
1686,127280.97
1687,127404.555
1688,129272.516
1689,128936.36
1690,126497.305
1691,126429.33
1692,134962.8
1693,127351.96
1694,126868.945
